measure,level,series,sex,mean,sd,dispersion,cohort,n,modality,source_kind,notes,citation
h_post,L1,Panjabi 1992,all,23.8,0.92,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
h_post,L2,Panjabi 1992,all,24.3,0.95,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
h_post,L3,Panjabi 1992,all,23.8,1.1,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
h_post,L4,Panjabi 1992,all,24.1,1.1,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
h_post,L5,Panjabi 1992,all,22.9,0.95,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
h_post,T12,Tan 2004,all,21.5,0.2,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_post,L1,Tan 2004,all,22.4,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_post,L2,Tan 2004,all,23.1,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_post,L3,Tan 2004,all,22.1,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_post,L4,Tan 2004,all,21.6,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_post,L5,Tan 2004,all,20.0,0.6,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_post,L1,Front Physiol 2026,all,27.2,1.3,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_post,L2,Front Physiol 2026,all,28.1,2.6,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_post,L3,Front Physiol 2026,all,27.3,2.2,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_post,L4,Front Physiol 2026,all,26.3,2.1,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_post,L5,Front Physiol 2026,all,24.6,2.5,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_post,T12,Duman 2026,M,24.83,2.07,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_post,L1,Duman 2026,M,25.94,1.98,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_post,L2,Duman 2026,M,27.12,2.15,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_post,T12,Duman 2026,F,22.19,1.85,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_post,L1,Duman 2026,F,23.57,1.82,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_post,L2,Duman 2026,F,24.68,1.92,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_post,L1,Bonczar 2024,all,26.57,1.06,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,"pooled SE, includes Panjabi",Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_post,L2,Bonczar 2024,all,27.02,1.06,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,"pooled SE, includes Panjabi",Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_post,L3,Bonczar 2024,all,26.67,1.02,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,"pooled SE, includes Panjabi",Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_post,L4,Bonczar 2024,all,25.76,1.03,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,"pooled SE, includes Panjabi",Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_post,L5,Bonczar 2024,all,24.11,0.7,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,"pooled SE, includes Panjabi",Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_post,L1,Gilad 1985,M,27.1,2.1,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_post,L2,Gilad 1985,M,27.0,2.1,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_post,L3,Gilad 1985,M,27.9,2.1,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_post,L4,Gilad 1985,M,27.1,2.3,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_post,L5,Gilad 1985,M,25.7,2.5,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_post,T12,Busscher 2010,M,28.5,0.9,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_post,L1,Busscher 2010,M,28.5,2.5,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_post,L2,Busscher 2010,M,29.8,1.2,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_post,L3,Busscher 2010,M,29.8,1.0,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_post,L4,Busscher 2010,M,28.0,2.1,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_post,L5,Busscher 2010,M,24.9,3.8,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_post,T12,Kunkel 2011,all,23.12,1.94,SD,"cadaveric, German",30,lateral radiograph,primary,,Kunkel ME et al. J Anat 2011;219(3):375-387
h_ant,T12,Tan 2004,all,18.7,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_ant,L1,Tan 2004,all,20.2,0.7,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_ant,L2,Tan 2004,all,20.8,0.5,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_ant,L3,Tan 2004,all,21.4,0.5,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_ant,L4,Tan 2004,all,21.6,0.6,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_ant,L5,Tan 2004,all,22.0,0.6,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
h_ant,L1,Front Physiol 2026,all,25.1,1.4,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_ant,L2,Front Physiol 2026,all,26.5,1.3,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_ant,L3,Front Physiol 2026,all,27.1,1.4,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_ant,L4,Front Physiol 2026,all,27.6,0.7,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
h_ant,L5,Front Physiol 2026,all,27.7,0.6,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
