measure,level,series,sex,mean,sd,dispersion,cohort,n,modality,source_kind,notes,citation
h_ant,T12,Duman 2026,M,23.61,2.14,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_ant,L1,Duman 2026,M,24.78,2.05,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_ant,L2,Duman 2026,M,26.31,2.21,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_ant,T12,Duman 2026,F,21.09,1.72,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_ant,L1,Duman 2026,F,22.56,1.91,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_ant,L2,Duman 2026,F,23.85,1.95,SD,"adults, Turkish",517,MDCT 0.625 mm,primary,,"Duman L, Yamansavci Sirzai E. Tomography 2026;12(8):109"
h_ant,L1,Bonczar 2024,all,24.54,0.96,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_ant,L2,Bonczar 2024,all,25.75,1.22,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_ant,L3,Bonczar 2024,all,26.83,1.16,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_ant,L4,Bonczar 2024,all,26.86,1.08,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_ant,L5,Bonczar 2024,all,27.44,1.16,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
h_ant,L1,Gilad 1985,M,25.4,2.2,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_ant,L2,Gilad 1985,M,27.2,2.0,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_ant,L3,Gilad 1985,M,27.9,2.1,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_ant,L4,Gilad 1985,M,27.4,2.2,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_ant,L5,Gilad 1985,M,28.3,2.1,SD,"healthy working males, Israeli",157,lateral radiograph,primary,,"Gilad I, Nissan M. J Anat 1985;143:115-120"
h_ant,T12,Busscher 2010,M,25.6,1.6,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_ant,L1,Busscher 2010,M,25.5,2.5,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_ant,L2,Busscher 2010,M,27.3,2.8,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_ant,L3,Busscher 2010,M,28.7,1.9,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_ant,L4,Busscher 2010,M,27.8,2.4,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_ant,L5,Busscher 2010,M,29.5,1.4,SD,"fresh-frozen cadaver, male",6,CT 1.0 mm,primary,,Busscher I et al. Eur Spine J 2010;19(7):1104-1114
h_ant,T12,Kunkel 2011,all,20.8,1.96,SD,"cadaveric, German",30,lateral radiograph,primary,,Kunkel ME et al. J Anat 2011;219(3):375-387
endplate,L1,Panjabi 1992,all,41.2,1.03,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
endplate,L2,Panjabi 1992,all,42.6,0.74,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
endplate,L3,Panjabi 1992,all,44.1,0.88,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
endplate,L4,Panjabi 1992,all,46.6,1.2,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
endplate,L5,Panjabi 1992,all,47.3,1.2,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
endplate,T12,Tan 2004,all,34.5,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
endplate,L1,Tan 2004,all,36.3,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
endplate,L2,Tan 2004,all,38.2,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
endplate,L3,Tan 2004,all,39.9,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
endplate,L4,Tan 2004,all,42.0,0.2,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
endplate,L5,Tan 2004,all,41.6,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
endplate,L1,Front Physiol 2026,all,41.8,1.0,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
endplate,L2,Front Physiol 2026,all,43.4,0.7,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
endplate,L3,Front Physiol 2026,all,45.2,0.6,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
endplate,L4,Front Physiol 2026,all,47.7,0.8,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
endplate,L5,Front Physiol 2026,all,50.7,2.4,SD,"healthy volunteers, Chinese",100,CT 1 mm,primary,,Front Physiol 2026;17:1820186
endplate,L1,Bonczar 2024,all,41.09,1.6,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
endplate,L2,Bonczar 2024,all,42.98,1.57,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
endplate,L3,Bonczar 2024,all,44.82,1.62,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
endplate,L4,Bonczar 2024,all,47.5,1.87,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
endplate,L5,Bonczar 2024,all,48.81,1.91,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
endplate,T12,Yadav 2020,M,36.99,2.89,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L1,Yadav 2020,M,40.15,3.09,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L2,Yadav 2020,M,42.55,4.08,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L3,Yadav 2020,M,44.34,3.17,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L4,Yadav 2020,M,46.42,3.98,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L5,Yadav 2020,M,48.79,5.54,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,T12,Yadav 2020,F,34.62,2.82,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L1,Yadav 2020,F,36.95,3.14,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L2,Yadav 2020,F,39.49,2.97,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L3,Yadav 2020,F,41.54,3.47,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L4,Yadav 2020,F,43.59,3.58,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,L5,Yadav 2020,F,46.0,3.66,SD,"adults, Indian",302,MDCT,primary,,Yadav U et al. Int J Spine Surg 2020;14(2):175-181
endplate,T12,Chen 2011,M,38.0,3.4,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L1,Chen 2011,M,38.4,4.0,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L2,Chen 2011,M,41.4,4.0,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L3,Chen 2011,M,42.4,3.8,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,T12,Chen 2011,F,32.9,2.5,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L1,Chen 2011,F,34.4,2.6,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L2,Chen 2011,F,36.0,2.8,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L3,Chen 2011,F,37.2,3.4,SD,"patients, Chinese",83,CT MPR 0.625 mm,primary,,Chen H et al. Eur Spine J 2011;20(11):1814-1820
endplate,L1,van der Houwen 2009,M,38.7,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L2,van der Houwen 2009,M,38.1,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L3,van der Houwen 2009,M,40.2,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L4,van der Houwen 2009,M,42.4,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L5,van der Houwen 2009,M,43.9,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L1,van der Houwen 2009,F,32.7,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L2,van der Houwen 2009,F,33.0,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L3,van der Houwen 2009,F,34.7,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L4,van der Houwen 2009,F,37.7,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L5,van der Houwen 2009,F,38.1,,median only,"patients, Dutch",77,16-MDCT,primary,medians,van der Houwen EB et al. Ann Biomed Eng 2009;38(1):33-40
endplate,L4,Tang 2016,all,50.5,3.8,SD,"adults, USA",109,T2 MRI,primary,,Tang R et al. Eur Spine J 2016;25(12):4116-4131
endplate,L5,Tang 2016,all,52.1,4.0,SD,"adults, USA",109,T2 MRI,primary,,Tang R et al. Eur Spine J 2016;25(12):4116-4131
canal_w,L1,Panjabi 1992,all,23.7,0.92,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_w,L2,Panjabi 1992,all,23.8,0.71,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_w,L3,Panjabi 1992,all,24.3,0.64,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_w,L4,Panjabi 1992,all,25.4,0.49,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_w,L5,Panjabi 1992,all,27.1,0.88,SEM,cadaveric dry bone,12,3-D digitiser,primary,,Panjabi MM et al. Spine 1992;17(3):299-306
canal_w,T12,Tan 2004,all,17.9,0.3,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_w,L1,Tan 2004,all,19.4,0.2,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_w,L2,Tan 2004,all,19.5,0.2,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_w,L3,Tan 2004,all,19.4,0.4,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_w,L4,Tan 2004,all,20.2,0.5,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_w,L5,Tan 2004,all,23.4,0.6,SEM (defined as SD/n),"cadaveric dry bone, Chinese Singaporean",10,contact digitiser,primary,,Tan SH et al. Eur Spine J 2004;13(2):137-146
canal_w,L1,Bonczar 2024,all,22.04,0.91,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_w,L2,Bonczar 2024,all,22.15,0.94,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_w,L3,Bonczar 2024,all,22.62,0.8,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_w,L4,Bonczar 2024,all,23.19,0.82,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_w,L5,Bonczar 2024,all,26.46,0.89,pooled SE,meta-analysis of 18 studies,1481,mixed,primary,pooled SE,Bonczar M et al. Surg Radiol Anat 2024;47(1):22 (includes Panjabi 1992)
canal_w,L1,Griffith 2016,M,20.87,2.5,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L2,Griffith 2016,M,21.19,2.62,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L3,Griffith 2016,M,22.13,2.7,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L4,Griffith 2016,M,24.55,3.24,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L5,Griffith 2016,M,29.55,4.25,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L1,Griffith 2016,F,19.83,2.16,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L2,Griffith 2016,F,20.13,2.28,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L3,Griffith 2016,F,20.96,2.35,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L4,Griffith 2016,F,22.95,2.9,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L5,Griffith 2016,F,27.41,3.69,SD,"adults, Hong Kong Chinese",1080,CT,primary,,Griffith JF et al. Quant Imaging Med Surg 2016;6(6):671-679
canal_w,L1,Cizmic 2023,all,24.78,2.29,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_w,L2,Cizmic 2023,all,25.14,2.24,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_w,L3,Cizmic 2023,all,25.86,2.37,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_w,L4,Cizmic 2023,all,27.32,3.06,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_w,L5,Cizmic 2023,all,31.94,4.0,SD,"symptomatic patients, Bosnian",200,MSCT,primary,symptomatic cohort,Cizmic M et al. Acta Inform Med 2023;31(3):200-205
canal_w,L1,Abbas 2021,M,25.5,1.8,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
canal_w,L2,Abbas 2021,M,26.0,2.1,SD,"control arm, Israeli",180,CT,primary,,Abbas J et al. BioMed Res Int 2021:7093745
