case,rib,rid,pieces,big,second,gap_mm,fov_edge,on_face,spine_side,other_rib_touch,centroid_sep_mm
0150,right 11,57,2,25339,7704,25.7,True,False,True,right 12,84.3
0151,left 12,45,2,4202,832,85.7,True,False,False,,113.7
0153,left 7,40,2,21150,9129,101.8,True,True,True,,171.8
0153,right 7,53,2,21498,12638,59.9,True,True,True,,168.0
0158,left 7,40,2,25581,12095,10.7,True,True,True,left 8,65.8
0158,left 8,41,3,28176,18162,20.1,True,False,False,left 7,89.9
0158,left 11,44,2,19476,15304,31.4,False,False,True,left 12,105.9
0158,left 12,45,2,7569,2478,32.4,False,False,True,,73.3
0158,right 10,56,2,34830,6568,13.9,False,False,False,right 11,133.4
0158,right 11,57,2,21838,3410,49.9,False,False,False,right 10,105.7
0158,right 12,58,2,3854,3190,60.5,False,False,True,,94.2
0160,right 6,52,2,18800,5947,27.4,False,False,True,right 7,49.4
0160,right 7,53,2,28343,13238,22.0,False,False,False,right 8,59.2
0160,right 8,54,2,23030,6106,30.1,False,False,False,right 9,98.3
0169,left 12,45,2,5478,2124,47.2,False,False,False,left 11,81.2
0172,left 9,42,2,47335,7955,20.6,False,False,False,left 8,110.7
0176,left 6,39,2,16603,14505,20.6,False,False,False,left 7,102.5
0176,right 6,52,2,20921,18695,34.8,True,False,False,right 7,146.5
0176,right 7,53,2,41741,16629,15.6,False,False,False,right 8,148.6
0176,right 9,55,2,36563,11693,5.8,False,False,False,,149.2
0184,right 4,50,2,1882,585,8.7,True,True,True,,32.6
0186,left 5,38,2,8504,7156,17.1,True,True,True,left 6,88.1
0186,left 6,39,2,22355,17074,11.5,True,False,False,left 5,117.1
0186,left 7,40,2,33681,21497,9.4,False,False,False,left 6,137.1
0186,left 8,41,3,34172,18372,21.1,False,False,False,left 7,128.5
0188,left 5,38,3,29525,12775,13.7,True,True,True,left 6,89.5
0188,left 9,42,2,67876,14472,9.8,False,False,True,left 10,105.9
0188,left 10,43,2,53198,27610,11.5,False,False,True,left 11,69.5
0188,left 11,44,2,26400,18024,16.5,False,False,False,left 10,82.0
0188,left 12,45,2,9678,3636,48.4,False,False,False,left 11,88.9
0188,right 4,50,2,18953,3420,14.0,True,True,False,,55.8
0188,right 5,51,5,14604,12986,131.3,True,True,True,right 6,167.0
0188,right 6,52,2,50221,22789,9.1,False,False,True,"right 5,right 7",118.2
0188,right 7,53,2,65136,25807,8.2,False,False,True,right 8,126.0
0188,right 9,55,3,57634,17940,21.9,False,False,False,right 10,105.9
0188,right 10,56,3,45170,29888,10.0,False,False,False,right 9,39.6
0188,right 12,58,2,9168,8923,13.3,False,False,True,,37.0
0191,left 5,38,2,13552,2531,29.8,True,True,True,left 6,78.3
0191,left 6,39,2,27532,14962,6.1,True,True,True,left 7,85.6
0191,left 7,40,3,59419,27750,11.4,False,False,False,left 6,144.8
0195,right 5,51,2,19710,14736,14.1,True,True,True,,107.3
0195,right 6,52,2,33296,15020,9.0,False,False,False,,135.6
0197,right 8,54,2,21245,16372,18.2,True,True,True,right 7,102.8
0197,right 9,55,2,45709,12640,26.7,False,False,False,right 10,144.1
0197,right 11,57,2,39825,6058,33.7,False,False,False,right 12,77.2
0198,left 7,40,2,25518,20994,95.2,True,False,False,left 8,196.1
0198,left 8,41,3,19602,18579,24.0,True,False,False,left 9,120.6
0198,left 9,42,3,20864,15862,18.5,True,False,True,left 10,98.5
0198,left 10,43,3,16808,13869,36.6,False,False,False,left 11,106.1
0198,left 11,44,2,22398,13991,23.8,True,False,False,left 10,46.2
0200,left 6,39,2,8408,2789,27.4,False,False,False,left 7,69.8
0208,left 6,39,2,13830,8402,17.1,True,True,True,left 5,101.1
0208,left 7,40,2,22001,11624,13.2,False,False,False,left 8,128.6
0208,left 8,41,2,28362,8713,23.7,False,False,False,left 9,146.7
0208,left 9,42,2,30588,5651,22.7,False,False,False,left 10,129.4
0208,right 5,51,2,3857,2951,19.8,False,False,False,right 6,53.0
0222,right 11,57,2,28152,5031,35.8,False,False,False,right 10,113.2
0231,left 8,41,2,7495,6429,12.3,False,False,True,left 9,30.2
0231,left 9,42,2,22105,9354,13.1,True,True,False,left 8,27.1
0236,left 9,42,2,39554,19954,19.6,True,True,False,left 8,104.9
0236,left 10,43,2,28094,27125,19.3,False,False,False,left 9,98.6
0236,left 11,44,2,20567,16006,17.7,False,False,False,left 10,71.0
0236,left 12,45,2,9166,4605,13.1,False,False,True,,29.5
0236,right 9,55,2,52377,12240,13.9,True,True,False,right 8,105.3
0236,right 10,56,2,38232,16446,17.0,False,False,False,right 9,97.7
0236,right 11,57,2,19530,10118,25.6,False,False,False,right 10,82.1
0236,right 12,58,2,6807,5392,15.8,False,False,True,,36.0
0242,left 12,45,2,5853,5294,10.2,False,False,False,,58.2
0244,right 9,55,2,8287,8115,25.8,True,True,True,right 8,92.2
0244,right 10,56,2,21763,3711,26.5,False,False,False,right 11,102.1
0251,left 8,41,2,15583,10379,18.8,True,True,True,left 7,81.0
0251,left 9,42,2,19874,9897,24.0,False,False,False,left 10,92.4
0262,left 8,41,2,20801,4461,35.1,False,False,False,left 7,95.5
0262,left 9,42,2,42251,9346,20.7,False,False,False,left 8,123.7
0262,left 10,43,2,45731,8170,31.6,True,False,False,left 9,120.6
0267,left 6,39,2,22849,3558,19.3,True,True,False,left 5,38.5
0271,right 9,55,2,50169,10696,11.3,True,True,True,right 8,116.2
0271,right 10,56,2,51325,10541,12.0,False,False,False,right 9,104.7
0276,right 7,53,2,37574,7012,19.4,False,False,False,right 8,84.8
0278,left 7,40,3,5179,4411,65.4,True,True,True,left 8,102.5
0278,left 8,41,3,56231,20154,17.4,True,True,False,left 7,122.4
0289,left 10,43,3,30637,13955,23.4,False,False,False,left 11,96.0
0289,left 11,44,2,17997,7491,28.1,False,False,False,left 12,91.6
0289,right 10,56,2,37115,8096,33.7,False,False,False,right 11,102.2
0289,right 11,57,2,20879,6847,35.9,False,False,False,right 12,86.6
0291,right 8,54,2,31703,31016,21.5,True,True,True,right 9,96.5
0291,right 9,55,2,58972,19144,27.4,True,False,False,right 8,122.8
0291,right 10,56,2,63607,10985,26.4,False,False,False,right 9,113.5
0306,left 5,38,2,894,684,15.0,True,True,True,,26.9
0306,left 6,39,3,10731,3451,16.5,False,False,False,left 7,40.0
0306,left 7,40,2,12061,10184,14.3,False,False,False,left 8,46.3
0306,left 8,41,3,14144,9267,20.5,False,False,True,left 9,77.2
0306,left 9,42,2,17529,7742,19.5,False,False,False,left 10,86.1
0306,left 10,43,3,27705,9619,22.9,False,False,False,left 11,100.4
0306,left 11,44,2,30038,6165,19.1,False,False,True,left 12,57.3
0306,right 9,55,2,11983,10810,14.2,True,True,False,right 8,74.9
0306,right 10,56,3,18096,9957,31.2,False,False,False,right 11,104.4
0313,left 7,40,2,16486,9824,73.4,True,False,False,left 8,176.0
0315,left 11,44,2,32659,4900,22.4,True,False,False,left 12,83.3
0315,right 10,56,2,29624,11546,17.4,True,True,True,right 9,104.5
0315,right 11,57,2,26471,5636,25.5,True,False,True,right 10,85.0
0317,left 6,39,2,10166,7165,3.2,True,True,True,left 5,20.8
0317,left 11,44,2,30114,6041,4.9,True,False,False,,58.6
0346,left 8,41,2,53870,18349,17.5,True,True,True,,147.0
0350,right 12,58,2,2074,1526,76.2,False,False,False,right 11,96.4
0355,left 7,40,2,17669,2681,22.8,True,True,False,left 6,55.0
0355,left 8,41,2,24005,8939,12.1,False,False,False,left 7,66.3
0355,left 11,44,3,11094,10173,16.6,True,True,False,left 10,47.7
0355,left 12,45,2,10230,3015,14.9,False,False,True,,59.3
0359,right 11,57,2,5061,3238,97.4,False,False,True,right 12,124.7
0368,left 9,42,2,30284,19114,24.3,False,False,False,left 10,121.4
0368,left 10,43,2,54730,9918,40.1,False,False,False,left 11,144.1
0368,right 6,52,2,6038,907,25.1,True,True,False,,39.5
0368,right 8,54,2,40624,17656,15.7,True,True,True,right 9,114.8
0368,right 9,55,2,36867,24594,25.6,True,False,True,right 10,124.5
0368,right 10,56,3,36813,29536,27.4,True,False,True,right 11,103.3
0368,right 11,57,2,26166,24921,35.3,True,False,True,right 12,94.0
0368,right 12,58,2,4759,2461,53.9,False,False,False,right 11,83.0
0371,left 9,42,2,20047,15733,24.8,True,True,True,left 10,76.3
0371,left 10,43,2,28884,14216,27.8,False,False,False,left 9,89.4
0371,right 7,53,2,2471,1094,29.9,True,True,True,right 8,46.3
0371,right 8,54,2,11048,7146,17.4,True,True,True,right 9,45.8
0371,right 9,55,2,19930,7121,19.7,False,False,False,right 8,53.2
0376,left 8,41,2,21375,3457,12.3,False,False,False,left 9,55.0
0376,left 10,43,2,29720,6153,14.9,False,False,False,left 11,96.0
0376,right 7,53,2,9042,6424,21.2,True,True,True,right 6,56.8
0376,right 8,54,2,13235,6359,20.8,False,False,False,right 9,75.9
0378,left 9,42,2,8114,1279,19.3,True,True,False,left 8,48.7
0378,left 10,43,2,8575,7753,17.7,False,False,True,left 11,54.7
0378,left 11,44,2,13928,3162,20.7,False,False,False,left 12,58.9
0381,left 7,40,2,16595,5429,17.3,True,True,False,left 6,52.9
0381,left 8,41,2,18121,9567,24.8,False,False,False,left 9,80.8
0381,left 9,42,2,32055,7438,21.0,False,False,False,left 10,102.0
0381,right 8,54,2,13095,10732,22.5,True,True,True,right 7,77.1
0381,right 9,55,2,31736,5800,26.4,False,False,False,right 10,105.1
0383,left 9,42,2,28745,4464,6.8,True,True,False,left 8,83.4
0383,left 10,43,2,19933,19057,22.2,True,False,True,left 11,106.4
0383,left 11,44,2,19269,7679,22.1,False,False,True,left 12,82.2
0383,right 6,52,2,11082,10070,13.4,False,False,True,right 7,31.5
0383,right 7,53,2,18081,14153,15.4,True,True,False,right 6,53.1
0383,right 8,54,2,20520,11197,18.4,False,False,True,right 9,93.1
0383,right 9,55,2,32140,7732,13.9,False,False,False,right 10,109.1
0389,left 9,42,2,14587,8350,15.0,True,True,False,left 8,76.1
0389,left 10,43,2,21426,10603,19.7,False,False,False,left 11,93.7
0389,right 7,53,2,8638,4370,22.8,True,True,False,right 8,58.1
0389,right 8,54,2,11056,10058,16.2,False,False,False,right 7,61.1
0389,right 9,55,2,20259,9962,19.4,False,False,False,right 8,89.6
0389,right 10,56,2,29452,9365,21.1,False,False,False,right 9,87.5
0390,right 7,53,2,6384,4608,27.5,True,True,True,,139.4
0394,right 9,55,2,13413,10696,20.4,False,False,True,right 10,80.0
0394,right 10,56,2,25079,7364,27.4,False,False,False,right 11,96.9
0405,right 7,53,2,25899,9365,17.8,False,False,True,right 8,44.5
0405,right 8,54,2,21188,6593,11.4,False,False,True,right 9,73.2
0409,left 10,43,2,54223,9426,24.3,False,False,False,left 11,118.4
0409,right 10,56,2,49847,12509,27.7,False,False,False,right 11,100.4
0409,right 11,57,2,25374,9719,27.3,False,False,False,right 12,80.1
0420,right 6,52,2,11311,5711,138.6,True,True,False,,197.1
0420,right 7,53,2,68216,10251,13.7,True,False,False,right 6,114.2
0428,right 7,53,2,10815,5256,10.7,True,True,True,right 8,52.7
0428,right 8,54,2,11513,10454,10.1,False,False,False,right 7,68.5
0428,right 9,55,2,23759,6576,14.9,False,False,False,right 8,98.5
0431,left 8,41,2,10455,1932,33.8,False,False,True,left 9,80.9
0431,left 9,42,3,22900,10987,28.4,True,False,False,,106.4
0431,left 10,43,2,31036,8129,48.0,False,False,False,left 11,136.4
0431,right 9,55,2,26579,7769,14.7,True,True,True,right 8,109.4
0431,right 10,56,2,19265,14776,30.4,False,False,False,right 11,126.3
0441,left 10,43,2,29447,8442,20.8,True,True,True,left 9,85.7
0441,left 11,44,2,17335,12562,26.2,False,False,True,left 10,82.7
0447,left 8,41,2,16305,14269,16.0,True,True,True,left 7,113.7
0447,left 9,42,3,18957,16024,16.9,True,False,False,left 10,104.1
0447,left 10,43,3,10381,8627,44.1,True,False,False,left 11,107.1
0447,left 11,44,3,10452,3596,26.6,True,False,True,left 12,58.7
0447,right 7,53,2,11450,5709,16.3,True,True,True,right 6,73.0
0447,right 8,54,2,28707,4411,29.1,False,False,False,right 9,141.1
0455,left 7,40,2,15751,6059,14.5,True,True,True,left 6,59.3
0455,left 8,41,2,23060,6492,37.7,False,False,False,left 9,108.3
0455,right 9,55,2,37871,7048,40.2,False,False,False,right 10,134.1
0459,right 7,53,2,10181,4660,47.0,True,True,True,right 8,90.4
0459,right 8,54,2,18152,12576,27.9,True,False,True,right 9,89.7
0459,right 9,55,2,13475,7061,70.1,True,True,True,right 8,135.0
0459,right 12,58,4,13023,5357,13.3,True,False,True,,77.2
0463,left 12,45,2,2023,547,93.1,True,False,False,,114.2
0463,right 12,58,2,3269,2672,6.3,True,True,True,,29.4
0486,left 9,42,2,11067,5578,36.3,True,False,False,left 8,87.2
0492,left 7,40,3,7968,6207,17.4,True,True,False,left 6,48.1
0492,left 8,41,3,31931,15544,25.3,False,False,False,left 7,122.7
0492,left 9,42,2,66240,18680,26.1,False,False,False,left 8,156.5
0508,left 6,39,2,23091,9199,68.9,True,True,True,left 7,138.7
0508,left 7,40,3,27832,25127,95.1,False,False,False,left 8,185.3
0508,left 8,41,3,35898,23575,13.4,False,False,False,left 7,116.1
0508,left 9,42,2,69334,21628,16.0,False,False,False,left 8,41.2
0516,left 6,39,2,17557,5020,10.3,False,False,True,left 5,56.1
0516,left 7,40,3,24669,13627,10.7,False,False,False,left 6,70.1
0516,left 8,41,2,48371,7410,15.5,False,False,False,left 7,113.9
0516,left 9,42,2,51359,10344,22.4,False,False,False,left 8,117.3
0516,left 10,43,2,42185,7903,23.4,False,False,False,left 9,105.4
0516,left 11,44,2,21006,3504,30.1,False,False,False,left 10,102.3
0516,right 9,55,2,23035,22567,38.3,False,False,False,right 10,139.2
0516,right 10,56,2,34611,17202,26.8,False,False,False,right 11,112.3
0516,right 11,57,2,25792,6608,24.9,False,False,False,right 12,91.6
0516,right 12,58,2,19326,3171,14.0,False,False,False,,29.5
0522,right 7,53,2,19382,4921,18.0,True,True,False,right 6,32.5
0523,left 5,38,2,1241,744,2.3,False,False,False,,22.0
0523,right 5,51,2,795,612,5.4,False,False,False,,22.8
0556,right 7,53,3,8973,3527,51.3,True,True,False,,91.3
0556,right 8,54,2,77087,18888,26.2,False,False,False,right 7,120.8
0568,left 11,44,2,33667,12649,11.8,False,False,True,left 12,39.2
0568,right 7,53,2,12658,3734,72.5,True,True,True,right 8,125.8
0568,right 8,54,2,32260,21516,12.3,False,False,True,right 9,97.6
0568,right 9,55,3,25036,17631,18.4,False,False,True,right 10,84.4
0568,right 10,56,3,16874,15765,64.6,False,False,False,right 9,126.1
0568,right 11,57,3,10059,9338,22.7,False,False,True,right 12,59.8
0568,right 12,58,2,9651,2283,40.8,False,False,False,right 11,82.6
0569,left 6,39,2,15154,12230,17.7,True,True,True,left 5,46.3
0569,left 7,40,2,24249,13444,18.7,False,False,False,left 8,65.9
0569,left 8,41,2,32335,11020,24.3,False,False,False,left 9,90.7
0569,right 7,53,2,23226,20691,20.5,True,True,True,right 6,88.3
0587,left 7,40,2,11745,4137,34.3,False,False,False,left 8,73.9
0587,left 11,44,2,31135,6735,23.7,False,False,False,left 12,38.8
0587,left 12,45,3,9480,2938,44.3,False,False,True,left 11,89.2
0601,left 9,42,2,29997,4866,34.0,True,True,True,left 10,122.3
0608,right 3,49,2,3105,3011,34.1,True,True,True,,83.6
0639,right 8,54,2,16091,3470,7.3,True,True,True,right 9,66.2
0639,right 9,55,3,15357,7402,9.5,False,False,False,right 10,28.9
0639,right 10,56,5,10808,7600,27.8,True,True,True,right 9,83.4
0639,right 11,57,3,16329,6135,30.6,False,False,False,right 12,79.1
0646,left 8,41,2,11760,1990,28.8,True,True,True,left 7,60.8
0646,left 9,42,2,23633,5833,29.7,True,False,False,left 10,90.5
0655,right 8,54,2,40056,15649,11.1,True,True,True,right 9,126.7
0655,right 9,55,2,43847,15677,14.0,True,False,True,right 10,102.2
0655,right 10,56,3,40060,19833,11.4,True,False,True,right 11,87.7
0655,right 11,57,2,26737,7523,18.6,True,False,True,right 12,76.3
0661,right 12,58,2,11075,7063,45.1,False,False,True,,98.2
0665,left 6,39,2,38370,12102,47.5,True,True,False,,181.3
0665,left 7,40,3,47237,34335,13.8,False,False,False,left 6,157.9
0665,left 8,41,2,45977,31012,20.4,False,False,False,left 7,151.7
0665,left 9,42,2,45836,19111,25.3,False,False,False,left 8,134.6
0665,left 10,43,2,50650,12701,38.0,False,False,False,left 9,105.6
0665,right 5,51,2,7870,3552,92.8,True,True,True,right 6,179.3
0665,right 6,52,3,39568,8539,13.3,True,True,False,right 5,140.6
0665,right 7,53,3,48345,28609,14.1,False,False,False,right 6,148.7
0665,right 8,54,2,47000,26389,19.4,False,False,False,right 7,149.7
0665,right 9,55,2,46316,19471,26.3,False,False,False,right 8,141.7
0665,right 10,56,2,43137,11340,33.2,True,False,False,right 9,111.1
0666,right 6,52,2,10015,1648,24.4,True,True,False,right 5,48.1
0667,left 9,42,2,6968,2877,18.6,False,False,True,left 10,45.9
0676,left 6,39,2,8844,5390,20.4,True,True,False,left 5,58.3
0676,left 7,40,2,15779,3602,26.7,False,False,True,left 8,85.6
0676,right 5,51,2,8509,4965,14.0,True,True,False,right 4,50.3
0676,right 6,52,2,18215,6220,16.4,False,False,True,right 7,82.5
0676,right 7,53,2,28356,4352,15.2,False,False,False,right 8,95.3
0677,left 12,45,2,8758,1615,35.5,False,False,False,,90.2
0677,right 12,58,2,8950,1782,25.9,True,False,False,,86.8
0680,right 6,52,2,7792,7145,21.5,True,True,False,right 5,52.1
0680,right 7,53,3,21233,13573,16.0,False,False,True,right 8,48.6
0680,right 8,54,3,26651,16637,13.7,False,False,False,right 7,85.8
0680,right 9,55,2,64126,16849,14.4,False,False,False,right 8,61.3
0700,left 8,41,2,9546,7520,27.1,True,True,True,left 7,70.3
0700,left 9,42,2,14407,6174,27.8,False,False,False,left 10,90.6
0714,left 6,39,2,21262,3988,16.7,True,True,False,left 5,58.7
0714,right 6,52,2,13050,2009,17.8,True,True,False,,52.7
0714,right 7,53,2,26632,7858,21.3,False,False,False,right 6,61.9
0731,left 7,40,2,10526,2278,6.9,True,False,True,left 8,36.8
0738,left 6,39,2,18031,3654,17.7,True,True,False,left 5,43.6
0738,left 7,40,3,17769,10676,26.4,True,True,True,left 6,68.8
0738,left 8,41,3,50143,14709,19.0,False,False,False,left 7,102.3
0738,left 9,42,3,52771,9885,19.3,True,False,False,left 8,112.5
0738,left 10,43,2,32864,5175,56.0,True,False,False,left 9,133.7
0738,left 11,44,3,28192,9279,29.7,False,False,False,left 10,79.4
0738,right 6,52,2,23573,7187,24.2,True,True,False,right 5,80.8
0738,right 7,53,2,31761,13178,28.4,False,False,False,right 6,114.8
0738,right 8,54,2,54197,13089,26.8,False,False,False,right 7,153.9
0738,right 9,55,2,58244,12616,24.7,False,False,False,right 8,137.9
0746,right 7,53,2,32575,31873,28.3,True,True,False,,142.5
0746,right 8,54,3,42837,38131,19.7,True,False,True,right 9,104.5
0746,right 9,55,3,32950,23105,29.8,True,False,False,right 8,118.9
0746,right 10,56,3,42540,19772,30.9,True,False,False,right 9,76.0
0746,right 11,57,3,31079,5904,14.4,False,False,True,right 10,76.7
0756,left 6,39,2,6751,1513,16.1,True,True,False,left 5,43.4
0756,left 7,40,2,27998,6024,19.4,True,True,True,left 8,81.7
0756,left 8,41,2,41672,28819,14.7,True,True,True,left 9,101.4
0756,left 9,42,2,58242,28875,18.3,True,False,False,left 8,123.2
0756,left 10,43,2,72967,18030,18.8,False,False,False,left 9,98.1
0760,right 7,53,2,26773,5040,21.4,False,False,False,right 8,62.8
0760,right 9,55,2,32654,28184,15.9,True,False,True,right 10,51.5
0760,right 10,56,3,30865,11622,18.7,True,True,True,right 9,93.1
0760,right 11,57,3,22543,8045,20.4,True,False,False,right 10,73.3
0760,right 12,58,2,7351,3907,45.5,False,False,True,,90.2
0762,left 6,39,3,16043,6683,21.8,True,True,True,left 7,97.0
0762,left 7,40,3,14188,12240,35.8,True,False,False,left 8,124.9
0762,left 8,41,3,29220,7380,31.3,False,False,False,left 9,149.3
0762,left 9,42,2,26863,4735,19.7,False,False,False,left 8,94.3
0762,left 10,43,2,18796,5515,26.6,False,False,False,left 9,103.9
0762,left 11,44,2,12436,10271,24.4,False,False,False,left 10,104.0
0762,left 12,45,2,5040,1911,36.2,False,False,True,,87.2
0768,left 7,40,2,5251,1977,16.9,True,True,True,left 6,47.3
0768,left 8,41,2,8472,4187,28.0,False,False,False,left 9,80.2
0776,right 6,52,2,17515,3960,6.1,False,False,True,right 7,36.1
0780,left 7,40,2,28702,12087,18.6,True,True,False,left 6,124.3
0780,left 8,41,2,30196,9403,20.1,True,False,False,left 7,124.3
0780,left 9,42,2,28334,6522,22.4,False,False,False,left 8,109.9
0782,left 7,40,2,8275,7890,17.7,True,False,False,left 6,43.3
0782,left 8,41,2,17960,7444,16.8,False,False,False,left 7,46.8
0782,right 7,53,2,12986,4234,12.7,True,True,True,right 8,55.5
0782,right 8,54,2,14163,11500,14.8,True,True,True,right 9,66.9
0782,right 9,55,2,25000,11713,17.6,False,False,False,right 8,96.7
0782,right 10,56,2,27991,7637,23.0,False,False,False,right 9,100.4
0782,right 11,57,2,19667,4348,29.3,False,False,False,right 10,100.6
0801,right 11,57,2,11309,3726,36.6,False,False,False,right 10,92.3
0801,right 12,58,2,1738,1127,44.9,False,False,False,right 11,77.6
0805,right 12,58,2,9683,1828,46.8,True,False,False,,98.7
0819,left 7,40,2,12936,8694,13.9,True,True,True,left 8,55.8
0819,left 8,41,2,27220,11578,21.7,False,False,False,left 7,77.2
0819,right 6,52,2,10187,8020,15.0,True,True,False,right 5,49.3
0819,right 7,53,2,21356,8439,17.2,False,False,False,right 6,60.2
0825,left 8,41,2,31100,19544,14.6,True,True,True,left 9,105.1
0825,left 9,42,2,32911,25696,17.7,False,False,False,left 8,101.5
0825,left 10,43,2,32942,16981,22.3,False,False,False,left 9,84.4
0825,left 11,44,2,26500,4928,27.9,False,False,False,left 10,81.8
0825,right 8,54,2,36194,24969,13.2,True,True,True,right 9,104.4
0825,right 9,55,2,33962,29086,14.1,False,False,False,right 8,89.2
0825,right 10,56,2,35608,14479,18.6,False,False,False,right 9,84.6
0825,right 11,57,2,22022,3993,28.1,False,False,False,right 10,82.6
0829,left 11,44,2,30598,5501,19.5,True,False,True,left 12,73.7
0829,right 6,52,2,17666,3555,14.5,True,True,True,right 5,33.6
0829,right 8,54,2,51951,8279,12.6,True,True,True,right 7,107.8
0831,left 9,42,2,33701,6334,16.8,True,True,False,left 8,100.9
0831,left 10,43,2,20596,16127,26.9,True,True,True,left 9,105.8
0831,left 11,44,2,31389,10405,32.7,False,False,False,left 12,116.7
0837,left 7,40,2,25645,6655,17.5,False,False,False,left 8,50.7
0837,left 8,41,2,27241,8245,21.7,False,False,False,left 9,82.4
0847,left 7,40,2,5259,3862,13.7,True,True,True,left 8,32.8
0847,left 8,41,2,13553,4437,8.9,False,False,False,left 7,40.2
0847,left 10,43,2,16562,15552,17.7,True,False,False,left 11,83.1
0847,left 11,44,2,19312,11302,18.1,False,False,False,left 10,55.9
0854,left 8,41,2,26238,13645,21.0,True,False,False,left 9,116.8
0854,left 9,42,2,36886,11512,21.2,True,False,False,left 10,127.3
0855,left 9,42,2,13195,11205,35.0,True,True,True,left 8,104.4
0855,left 10,43,3,31896,10308,36.5,False,False,False,left 11,134.1
0855,left 11,44,2,36314,11391,17.8,True,False,True,left 12,73.7
0855,left 12,45,2,23153,4202,12.5,False,False,True,,69.0
0869,left 8,41,2,59600,30144,28.5,False,False,False,left 7,139.0
0869,left 9,42,2,70541,24848,29.4,True,True,False,left 8,142.3
0869,left 10,43,3,35621,23474,65.5,False,False,False,left 9,147.4
0869,left 11,44,3,27478,20880,25.1,True,False,True,left 12,100.7
0869,left 12,45,2,8031,3738,33.8,False,False,True,,67.8
0869,right 11,57,2,58485,8921,26.3,False,False,False,right 12,78.9
0871,left 7,40,2,23051,5236,14.6,True,True,True,left 8,90.2
0871,left 8,41,2,22436,16472,19.0,True,True,True,left 9,106.7
0871,left 9,42,2,31730,12249,22.4,True,False,False,left 8,111.1
0871,left 10,43,2,35545,6595,22.9,False,False,False,left 9,112.2
0877,left 4,37,2,4983,3929,9.1,True,True,True,,37.3
0883,left 7,40,3,7570,6516,12.6,True,True,True,left 8,39.6
0883,left 8,41,2,15777,5467,13.3,False,False,False,left 7,44.2
0889,right 12,58,2,14310,7202,18.6,True,False,False,,84.6
