case,rib,rid,pieces,big,second,gap_mm,fov_edge,on_face,spine_side,other_rib_touch,centroid_sep_mm
0007,right 9,55,2,11648,8823,90.6,True,True,True,,151.3
0007,right 10,56,2,35150,7350,45.6,True,True,False,,152.7
0008,left 9,42,2,11456,6155,30.0,True,True,False,left 8,81.2
0008,left 12,45,2,31699,4912,16.6,False,False,True,,37.8
0033,left 6,39,2,11226,4864,10.8,True,True,False,left 5,53.8
0033,left 7,40,2,9220,8892,18.0,True,True,False,left 6,73.4
0033,left 8,41,2,13710,6841,17.5,True,False,True,left 9,86.7
0033,left 9,42,2,21056,4654,23.2,True,False,True,left 10,101.8
0033,right 5,51,2,10512,6650,13.3,False,False,False,right 4,36.6
0033,right 6,52,3,12260,3983,21.4,True,True,False,right 5,71.2
0033,right 7,53,2,12115,10454,17.3,False,False,True,right 8,78.3
0033,right 8,54,2,16609,4583,26.9,False,False,True,right 9,98.3
0038,right 10,56,2,48840,13149,14.2,False,False,False,right 11,35.5
0038,right 11,57,3,24510,14961,23.7,False,False,False,right 10,71.9
0039,right 6,52,2,26009,5010,22.9,False,False,False,right 5,60.9
0039,right 7,53,2,44379,8302,19.9,False,False,False,right 6,71.3
0049,right 6,52,3,6538,1434,48.4,True,True,False,right 7,72.7
0049,right 7,53,2,27545,15106,7.8,True,True,False,right 6,27.7
0049,right 10,56,2,13580,12196,22.8,True,True,True,right 9,88.9
0049,right 11,57,2,13029,7107,35.3,False,False,False,right 12,94.0
0059,right 6,52,2,16416,3302,15.3,True,True,False,right 5,31.8
0059,right 8,54,2,38067,9298,23.5,False,False,False,right 7,112.5
0065,left 9,42,2,10653,1963,28.3,True,True,False,left 8,69.1
0065,left 10,43,2,15473,5192,36.9,False,False,False,left 11,97.7
0065,right 10,56,2,27308,5628,27.8,False,False,False,right 9,93.3
0065,right 11,57,2,19898,4582,22.8,True,True,True,right 10,79.9
0068,right 8,54,2,10373,6975,30.9,True,True,False,right 7,92.2
0068,right 9,55,2,15557,7302,27.2,False,False,True,right 10,99.7
0090,left 7,40,2,31095,9973,8.7,False,False,False,left 8,23.3
0090,left 8,41,3,17861,13053,5.9,False,False,True,left 7,90.5
0090,left 9,42,3,19801,12730,2.6,True,True,False,left 8,81.4
0090,left 10,43,3,13183,8161,47.9,False,False,True,left 11,114.1
0090,left 11,44,2,18215,6480,52.5,False,False,False,left 10,127.9
0093,left 11,44,2,15326,4614,46.0,False,False,False,left 12,102.6
0094,left 10,43,2,46529,7333,35.2,True,False,False,left 11,124.6
0094,left 11,44,3,25584,9570,32.4,True,False,False,left 10,93.0
0094,left 12,45,2,6753,5663,39.6,True,False,True,,74.8
0130,left 6,39,2,11464,10263,11.7,True,True,True,left 7,69.2
0130,left 7,40,2,29608,21863,15.5,True,False,False,left 6,123.5
0130,left 8,41,3,44085,13603,20.4,False,False,False,left 7,150.6
0138,right 10,56,2,18440,4008,28.0,False,False,False,right 9,72.5
0150,left 9,42,2,5416,4969,15.2,False,False,True,left 10,45.9
0150,left 10,43,2,12353,5606,21.4,False,False,True,left 11,58.3
0150,left 11,44,2,25590,8031,29.8,True,False,False,left 12,77.4
0150,right 10,56,2,19393,4732,44.2,True,True,True,right 11,102.4
